threshold,precision_fraud,recall_fraud,f1_fraud,tn,fp,fn,tp
0.74,0.6967213114754098,0.648854961832061,0.6719367588932806,2611,37,46,85
0.75,0.6967213114754098,0.648854961832061,0.6719367588932806,2611,37,46,85
0.76,0.7024793388429752,0.648854961832061,0.6746031746031746,2612,36,46,85
0.77,0.7,0.6412213740458015,0.6693227091633466,2612,36,47,84
0.78,0.7,0.6412213740458015,0.6693227091633466,2612,36,47,84
0.79,0.7,0.6412213740458015,0.6693227091633466,2612,36,47,84
0.8,0.711864406779661,0.6412213740458015,0.6746987951807228,2614,34,47,84
0.81,0.711864406779661,0.6412213740458015,0.6746987951807228,2614,34,47,84
0.82,0.711864406779661,0.6412213740458015,0.6746987951807228,2614,34,47,84
0.83,0.711864406779661,0.6412213740458015,0.6746987951807228,2614,34,47,84
0.84,0.7241379310344828,0.6412213740458015,0.680161943319838,2616,32,47,84
0.85,0.7241379310344828,0.6412213740458015,0.680161943319838,2616,32,47,84
0.86,0.7410714285714286,0.6335877862595419,0.6831275720164609,2619,29,48,83
0.87,0.7614678899082569,0.6335877862595419,0.6916666666666667,2622,26,48,83
0.88,0.7614678899082569,0.6335877862595419,0.6916666666666667,2622,26,48,83
0.89,0.7641509433962265,0.6183206106870229,0.6835443037974683,2623,25,50,81
0.9,0.7641509433962265,0.6183206106870229,0.6835443037974683,2623,25,50,81
0.91,0.7714285714285715,0.6183206106870229,0.6864406779661016,2624,24,50,81
0.92,0.7843137254901961,0.6106870229007634,0.6866952789699571,2626,22,51,80
0.93,0.8061224489795918,0.6030534351145038,0.6899563318777293,2629,19,52,79
0.94,0.8229166666666666,0.6030534351145038,0.6960352422907489,2631,17,52,79
0.95,0.8297872340425532,0.5954198473282443,0.6933333333333334,2632,16,53,78
